
Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Custo
29	25	24	17	16	14	12	7	9	17
30	25	24	17	16	14	12	7	9	19
31	25	24	17	16	14	12	7	9	15
32	25	24	17	16	14	12	7	9	16
33	25	24	17	16	14	12	7	9	19
34	25	24	17	16	14	12	7	9	19
35	25	24	17	16	14	12	7	9	15
36	25	24	17	16	14	12	7	9	16
37	25	24	17	16	14	12	7	9	18
38	25	24	17	16	14	12	7	9	18
39	25	24	17	16	14	12	7	9	17
40	25	24	17	16	14	12	7	9	17
41	25	24	17	16	14	12	7	9	16
42	25	24	17	16	14	12	7	9	17
43	25	24	17	16	14	12	7	9	19
44	25	24	17	16	14	12	7	9	16
45	25	24	17	16	14	12	7	9	16
46	25	24	17	16	14	12	7	9	17
47	25	24	17	16	14	12	7	9	16
48	25	24	17	16	14	12	7	9	17
49	25	24	17	16	14	12	7	9	15
50	25	24	17	16	14	12	7	9	17
51	25	24	17	16	14	12	7	9	17
52	25	24	17	16	14	12	7	9	15
53	25	24	17	16	14	12	7	9	15
54	25	24	17	16	14	12	7	9	17
55	25	24	17	16	14	12	7	9	15
56	25	24	17	16	14	12	7	9	19
57	25	24	17	16	14	12	7	9	17
58	25	24	17	16	14	12	7	9	18
59	25	24	17	16	14	12	7	9	18
60	25	24	17	16	14	12	7	9	16
61	25	24	17	16	14	12	7	9	17
62	25	24	17	16	14	12	7	9	17
63	25	24	17	16	14	12	7	9	15
64	25	24	17	16	14	12	7	9	18
65	25	24	17	16	14	12	7	9	19
66	25	24	17	16	14	12	7	9	17
67	25	24	17	16	14	12	7	9	18
68	25	24	17	16	14	12	7	9	18
69	25	24	17	16	14	12	7	9	18
70	25	24	17	16	14	12	7	9	18
71	25	24	17	16	14	12	7	9	19
72	25	24	17	16	14	12	7	9	16
73	25	24	17	16	14	12	7	9	15
74	25	24	17	16	14	12	7	9	18
75	25	24	17	16	14	12	7	9	18
76	25	24	17	16	14	12	7	9	18
77	25	24	17	16	14	12	7	9	19
78	25	24	17	16	14	12	7	9	19
79	25	24	17	16	14	12	7	9	16
80	25	24	17	16	14	12	7	9	15
81	25	24	17	16	14	12	7	9	18
82	25	24	17	16	14	12	7	9	19
83	25	24	17	16	14	12	7	9	17
84	25	24	17	16	14	12	7	9	17
85	25	24	17	16	14	12	7	9	16
86	25	24	17	16	14	12	7	9	19
87	25	24	17	16	14	12	7	9	17
88	25	24	17	16	14	12	7	9	16
89	25	24	17	16	14	12	7	9	15
90	25	24	17	16	14	12	7	9	17
91	25	24	17	16	14	12	7	9	17
92	25	24	17	16	14	12	7	9	18
93	25	24	17	16	14	12	7	9	19
94	25	24	17	16	14	12	7	9	16
95	25	24	17	16	14	12	7	9	17
96	25	24	17	16	14	12	7	9	16
97	25	24	17	16	14	12	7	9	15
98	25	24	17	16	14	12	7	9	16
99	25	24	17	16	14	12	7	9	15
100	25	24	17	16	14	12	7	9	20

Iteracao	Valor 1	Valor 2	Valor 3	Valor 4	Valor 5	Valor 6	Valor 7	Valor 8	Custo
0	25	24	17	16	14	12	7	9	18
1	25	24	17	16	14	12	7	9	19
2	25	24	17	16	14	12	7	9	17
3	25	24	17	16	14	12	7	9	18
4	25	24	17	16	14	12	7	9	19
5	25	24	17	16	14	12	7	9	19
6	25	24	17	16	14	12	7	9	16
7	25	24	17	16	14	12	7	9	19
8	25	24	17	16	14	12	7	9	19
9	25	24	17	16	14	12	7	9	15
10	25	24	17	16	14	12	7	9	19
11	25	24	17	16	14	12	7	9	16
12	25	24	17	16	14	12	7	9	19
13	25	24	17	16	14	12	7	9	15
14	25	24	17	16	14	12	7	9	16
15	25	24	17	16	14	12	7	9	16
16	25	24	17	16	14	12	7	9	19
17	25	24	17	16	14	12	7	9	16
18	25	24	17	16	14	12	7	9	16
19	25	24	17	16	14	12	7	9	19
20	25	24	17	16	14	12	7	9	17
21	25	24	17	16	14	12	7	9	16
22	25	24	17	16	14	12	7	9	19
23	25	24	17	16	14	12	7	9	19
24	25	24	17	16	14	12	7	9	19
25	25	24	17	16	14	12	7	9	18
26	25	24	17	16	14	12	7	9	18
27	25	24	17	16	14	12	7	9	18
28	25	24	17	16	14	12	7	9	18
29	25	24	17	16	14	12	7	9	19
